Chipset Name : GRANTLY PLATFORM Ver.05.04.21.0026,,,
Category,Name,GUID,Description
Kernel Layer,\mdemodulepkg\universal\securitystubdxe\SecurityStubDxe,F80697E9-7FD6-4665-8646-88E33EF71DFC,This driver produces security2 and security architectural protocol based on SecurityManagementLib.
Kernel Layer,\mdemodulepkg\universal\capsulepeiCapsulePei,C779F6D8-7113-4AA1-9648-EB1633C7D53B,Capsule update module supports EFI and UEFI.
Kernel Layer,\mdemodulepkg\universal\pcatsinglesegmentpcicfg2pei\PcatSingleSegmentPciCfg2Pei,4F1F379F-2A62-48BB-AC34-D3F135C6E2B7,This driver installs Single Segment Pci Configuration 2 PPI to provide read, write and modify access to Pci configuration space in PEI phase. To follow PI specification, these services also support access to the unaligned Pci address.
UefiCpuPkg,,,
Kernel Layer,\ueficpupkg\cpuio2dxe\CpuIo2Dxe,A19B1FE7-C1BC-49F8-875F-54A5D542443F,This DXE driver produces of the CPU I/O 2 Protocol, as introduced by PI 1.2.
Kernel Layer,\ueficpupkg\cpuio2smm\CpuIo2Smm,A47EE2D8-F60E-42FD-8E58-7BD65EE4C29,Module that produces the SMM CPU I/O 2 Protocol using the services of the I/O Library.
PcAtChipsetPkg,,,
Kernel Layer,\pcatchipsetpkg\8259interruptcontrollerdxe\Legacy8259,79CA4208-BBA1-4A9A-8456-E1E66A81484E,8259 Interrupt Controller driver.
IA32FamilyCpuPkg,,,
Kernel Layer,\ia32familycpupkg\pismmcommunication\PiSmmCommunicationSmm,E21F35A8-42FF-4050-82D6-93F7CDFA7073,This file contains an Intel Peripheral Driver and is licensed for Intel CPUs and chipsets under the terms of your license agreement with Intel or your vendor.
IntelFrameworkModulePkg,,,
Kernel Layer,\intelframeworkmodulepkg\universal\sectionextractiondxe\SectionExtractionDxe,801ADCA0-815E-46A4-84F7-657F53621A57,Section Extraction Dxe Driver produces framework section extract protocol.
Kernel Layer,\intelframeworkmodulepkg\universal\cpuiodxe\CpuIoDxe,BAE7599F-3C6B-43B7-BDF0-9CE07AA91AA6,Module that produces the Framework CPU I/O Protocol using the services of the I/O Library.
Kernel Layer,\intelframeworkmodulepkg\bus\isa\isabusdxe\IsaBusDxe,240612B5-A063-11D4-9A3A-0090273FC14D,Component description file for IsaBus module.
Kernel Layer,\intelframeworkmodulepkg\universal\datahubdxe\DataHubDxe,53BCC14F-C24F-434C-B294-8ED2D4CC1860,This driver initializes and installs the Data Hub protocol.
Kernel Layer,\intelframeworkmodulepkg\universal\datahubstderrdxe\DataHubStdErrDxe,CA515306-00CE-4032-874E-11B755FF6866,This driver takes DEBUG () info from Data Hub and writes it to StdErr if it exists.
Kernel Layer,\intelframeworkmodulepkg\universal\console\vgaclassdxe\VgaClassDxe,BF89F10D-B205-474F-96E3-7A7BB1B4A407,VGA Class Driver that managers VGA devices and produces Simple Text Output Protocol.
FatBinPkg,,,
Kernel Layer,\fatbinpkg\enhancedfatdxe\Fat,961578FE-B6B7-44C3-AF35-6BC705CD2B1F,Binary FAT32 EFI Driver for IA32, X64, IPF and EBC arch.
EdkShellBinPkg,,,
Kernel Layer,\edkshellbinpkg\fullshell\Shell_Full,C57AD6B7-0515-40A8-9D21-551652854E37,Component description file for EFI Shell module.
EdkCompatibilityPkg,,,
Kernel Layer,\edkcompatibilitypkg\compatibility\smmaccess2onsmmaccessthunk\SmmAccess2OnSmmAccessThunk,98BBCDA4-18B4-46D3-BD1F-6A3A52D44CF8,Component description file for SMM Access2 Protocol on SMM Access Protocol Thunk driver.
Kernel Layer,\edkcompatibilitypkg\compatibility\smmcontrol2onsmmcontrolthunk\SmmControl2OnSmmControlThunk,B55A4515-5895-4EA8-845B-75B7480F6502,Component description file for SMM Control2 Protocol on SMM Control Protocol Thunk driver.
Kernel Layer,\edkcompatibilitypkg\compatibility\smmbaseonsmmbase2thunk\SmmBaseOnSmmBase2Thunk,21CCF0B7-246B-412C-A334-0B65A07B28DF,Component description file for SMM Base Protocol on SMM Base2 Protocol Thunk driver.
Kernel Layer,\edkcompatibilitypkg\compatibility\smmbasehelper\SmmBaseHelper,8C87E0A0-B390-4BE3-819C-7C6C83CAE4EB,Component description file for SMM Base Helper SMM driver.
Kernel Layer,\edkcompatibilitypkg\compatibility\bootscriptsaveons3savestatethunk\BootScriptSaveOnS3SaveStateThunk,062ACC82-1D1E-4F61-AA94-8B0C47236A3D,To implement Framework Boot Script Save protocol based on PI S3 Save State protocol.
Kernel Layer,\edkcompatibilitypkg\compatibility\frameworkhiionuefihiithunk\FrameworkHiiOnUefiHiiThunk,AC3435BB-B1D3-4EF8-957C-8048606FF671,This module inits HII database and installs HII protocol based on the avaliable UEFI HII protocol found in the platform.
Kernel Layer,\edkcompatibilitypkg\compatibility\printthunk\PrintThunk,3792FF94-8614-45ED-902B-1207BF1490A8,Module produces EDK gEfiPrintProtocolGuid for backward compatibility support.
Kernel Layer,\edkcompatibilitypkg\compatibility\fvonfv2thunk\FvOnFv2Thunk,5007A40E-A5E0-44F7-86AE-662F9A91DA26,Module produce FV on top of FV2.
Kernel Layer,\edkcompatibilitypkg\compatibility\readonlyvariableonreadonlyvariable2thunk\ReadOnlyVariableOnReadOnlyVariable2Thunk,0FDB764B-E669-4C69-83AC-5EDD99A2711E,Module produce EFI_PEI_READ_ONLY_VARIABLE_PPI on top of EFI_PEI_READ_ONLY_VARIABLE2_PPI.
Kernel Layer,\edkcompatibilitypkg\compatibility\pcicfgonpcicfg2thunk\PciCfgOnPciCfg2Thunk,717886AB-C40A-44CF-9114-4119E84B0DC7,Module produce PciCfgPpi on top of PciCfgPpi2.
Kernel Layer,\edkcompatibilitypkg\compatibility\acpivariablehobonsmramreservehobthunk\AcpiVariableHobOnSmramReserveHobThunk,49B7F3E1-6C08-4A5B-911C-E9E397ED4178,Component description file for AcpiVariableHob on SmramReservedHob Thunk driver.
Kernel Layer,\edkcompatibilitypkg\compatibility\acpivariablehobonsmramreservehobthunk\DebugMaskPei,EB00DB50-C654-460F-8D7A-0E444FD32B45,Component description file for DebugMaskPei driver.
Kernel Layer,\edkcompatibilitypkg\compatibility\mpservicesonframeworkmpservicesthunk\MpServicesOnFrameworkMpServicesThunk,51739E2A-A022-4D73-ADB9-91F0C9BC7142,Produces PI MP Services Protocol on top of Framework MP Services Protocol.
InsydeCrPkg,,,
Kernel Layer,\insydecrpkg\crhookdxe\CRHookDxe,9E62300C-E94F-41A6-A70C-D7E47577B38C,Component description file for CrHookDxe module.
Kernel Layer,\insydecrpkg\crpolicydxe\CrPolicyDxe,DF25A013-3D50-4FAE-B3F2-BB97BB2401B5,Component description file for CrPolicy driver.
Kernel Layer,\insydecrpkg\isaserialdxe\IsaSerialDxe,93B80003-9FB3-11D4-9A3A-0090273FC14D,Serial driver for standard UARTS on an ISA bus.
Kernel Layer,\insydecrpkg\terminaldxe\TerminalDxe,9E863906-A40F-4875-977F-5B93FF237FC6,Component description file for Terminal module.
Kernel Layer,\insydecrpkg\pciserialdxe\PciSerialDxe,A6CC6BC8-2ADA-46C3-BBA4-E99672CC9530,Component description file for PciSerialDxe driver.
InsydeModulePkg,,,
Kernel Layer,\insydemodulepkg\universal\statuscode\debugdriverdxe\DebugDriverDxe,7C380900-1B96-4615-978E-89E02E2C89D0,Component description file for DebugDriverDxe module.
Kernel Layer,\insydemodulepkg\universal\pcdsmmdxe\PcdSmmDxe,80CF7257-87AB-47F9-A3FE-D50B76D89541,PCD DXE driver manage database contains all dynamic PCD entries and produce the implementation of PCD protocol.
Kernel Layer,\insydemodulepkg\universal\statuscode\reportstatuscoderoutersmm\ReportStatusCodeRouterSmm,A6885402-D022-4B0E-A509-4711B90F2A39,Report Status Code Router Driver which produces Report Stataus Code Handler Protocol and Status Code Runtime Protocol.
Kernel Layer,\insydemodulepkg\bus\isa\pcrtcruntimedxe\PcRtc,378D7B65-8DA9-4773-B6E4-A47826A833E1,PcRtc driver to install EFI_REAL_TIME_CLOCK_ARCH_PROTOCOL.
Kernel Layer,\insydemodulepkg\universal\recovery\emupeigatedxe\EmuPeiGateDxe,26452F27-45DE-4A94-807A-0E6FDC1CB962,Fast recovery helper DXE driver.
Kernel Layer,\insydemodulepkg\universal\security\tcg\memoryoverwritecontrol\TcgMor,AD416CE3-A483-45B1-94C2-4B4E4D575562,Component description file for Memory Overwrite Control driver.
Kernel Layer,\insydemodulepkg\universal\security\tcg\treeconfigdxe\TrEEConfigDxe,8376BDCA-5E03-4735-951A-4A74141E5886,Component file for TrEE configuration module.
Kernel Layer,\insydemodulepkg\universal\security\tcg\tcgdxe\TcgDxe,A5683620-7998-4BB2-A377-1C1E31E1E215,Component file for module TcgDxe. This module will produce TCG protocol and measure boot environment.
Kernel Layer,\insydemodulepkg\universal\security\tcg\physicalpresencedxe\PhysicalPresenceDxe,96107C8E-9490-4767-9D0D-5590F1F6E1FC,Component file for PhysicalPresenceDxe driver.
Kernel Layer,\insydemodulepkg\universal\security\tcg\tcgsmm\TcgSmm,42293093-76B9-4482-8C02-3BEFDEA9B35D,This driver implements TPM definition block in ACPI table and registers SMI callback functions for physical presence and MemoryClear to handle the requests from ACPI method.
Kernel Layer,\insydemodulepkg\universal\console\jpegdecoderdxe\JpegDecoderDxe,2707E46D-DBD7-41C2-9C04-C9FDB8BAD86C,Component description file for JpegDecoder module.
Kernel Layer,\insydemodulepkg\universal\console\tgadecoderdxe\TgaDecoderDxe,ADCCA887-5330-414A-81A1-5B578146A397,Component description file for TgaDecoder module.
Kernel Layer,\insydemodulepkg\universal\console\pcxdecoderdxe\PcxDecoderDxe,A8F634A5-28F1-4456-A9D5-7E24B99BDB65,Component description file for PcxDecoder module.
Kernel Layer,\insydemodulepkg\universal\console\gifdecoderdxe\GifDecoderDxe,1353DE63-B74A-4BEF-80FD-2C5CFA83040B,Component description file for GifDecoder module.
Kernel Layer,\insydemodulepkg\universal\console\pngdecoderdxe\PngDecoderDxe,C1D5258B-F61A-4C02-9293-A005BEB3EAA1,Component description file for PngDecoder module.
Kernel Layer,\insydemodulepkg\universal\bdsdxe\BdsDxe,FC5C7020-1A48-4198-9BE2-EAD5ABC8CF2F,BDSDxe module is core driver for BDS phase.
Kernel Layer,\insydemodulepkg\universal\commonpolicy\bootoptionpolicydxe\BootOptionPolicyDxe,2D6BB83D-84A2-404A-B4CA-3E7AC0EFB3D2,Component description file for BootOptionPolicyDxe module.
Kernel Layer,\insydemodulepkg\universal\firmwarevolume\ftwliteruntimedxe\FaultTolerantWriteLiteDxe,4C862FC6-0E54-4E36-8C8F-FF6F3167951F,Component description file for FtwLitRuntimeDxe module.
Kernel Layer,\insydemodulepkg\universal\variable\variableruntimedxe\VariableRuntimeDxe,CBD2E4D5-7068-4FF5-B462-9822B4AD8D60,Component description file for VariableRuntimeDxe module.
Kernel Layer,\insydemodulepkg\universal\variable\emuvariableruntimedxe\EmuVariableRuntimeDxe,02B01AD5-7E59-43E8-A6D8-238180613A5A,Component description file for EmuVariableRuntimeDxe module.
Kernel Layer,\insydemodulepkg\universal\variable\variabledefaultupdatedxe\VariableDefaultUpdate,760F874E-B8CB-405E-AA32-A46AE2F3D680,Component description file for UnicodeCollation module.
Kernel Layer,\insydemodulepkg\universal\monotoniccounterruntimedxe\MonotonicCounterRuntimeDxe,AD608272-D07F-4964-801E-7BD3B7888652,This module produces the UEFI boot service GetNextMonotonicCount() and runtime service GetNextHighMonotonicCount().
Kernel Layer,\insydemodulepkg\universal\acpi\acpisupportdxe\AcpiSupportDxe,506533A6-E626-4500-B14F-17939C0E5B60,Component description file for AcpiSupportDxe module.
Kernel Layer,\insydemodulepkg\universal\acpi\acpiplatformdxe\AcpiPlatform,CB933912-DF8F-4305-B1F9-7B44FA11395C,Component description file for AcpiPlatformDxe driver.
Kernel Layer,\insydemodulepkg\universal\acpi\bootscriptexecutordxe\BootScriptExecutorDxe,FA20568B-548B-4B2B-81EF-1BA08D4A3CEC,This is a standalone Boot Script Executor. Standalone means it does not depends on any PEI or DXE service.
Kernel Layer,\insydemodulepkg\universal\acpi\bootgraphicsresourcetabledxe\BootGraphicsResourceTableDxe,B8E62775-BB0A-43F0-A843-5BE8B14F8CCD,This module install ACPI Boot Graphics Resource Table (BGRT).
Kernel Layer,\insydemodulepkg\universal\acpi\wpbtdxe\WpbtDxe,ED92EAE0-C31C-4824-8802-35595EFA8287,Component description file for WpbtDxe driver.
Kernel Layer,\insydemodulepkg\universal\acpi\msdm\InstallMsdm,6903A447-CB4F-45F6-89A2-7E7E2F9EE14C,Install ACPI MSDM Table For OA 3.0.
Kernel Layer,\insydemodulepkg\bus\isa\ps2keyboarddxe\Ps2KeyboardDxe,3DC82376-637B-40A6-A8FC-A565417F2C38,Ps2 Keyboard UEFI Driver which produce gEfiSimpleTextInProtocolGuid and gEfiSimpleTextInputExProtocolGuid protocol.
Kernel Layer,\insydemodulepkg\bus\isa\ps2mousedxe\Ps2MouseDxe,202A2B0E-9A31-4812-B291-8747DF152439,Ps2 Mouse Driver.
Kernel Layer,\insydemodulepkg\bus\pci\idebusdxe\IdeBusDxe,69FD8E47-A161-4550-B01A-5594CEB2B2B2,Component description file for IdeBus module.
Kernel Layer,\insydemodulepkg\bus\pci\pcibusdxe\PciBusDxe,93B80004-9FB3-11D4-9A3A-0090273FC14D,Component description file for PciBus module.
Kernel Layer,\insydemodulepkg\bus\pci\ahcibusdxe\AhciBusDxe,3ACC966D-8E33-45C6-B4FE-62724BCD15A9,Component description file for AHCI controller Driver module.
Kernel Layer,\insydemodulepkg\bus\pci\ehcidxe\EhciDxe,BDFE430E-8F2A-4DB0-9991-6F856594777E,Component Description File For EhciDxe Module.
Kernel Layer,\insydemodulepkg\bus\pci\xhcidxe\XhciDxe,356C2B12-3124-4451-BF66-B502D88A0074,Component description file for Xhci Dxe module.
Kernel Layer,\insydemodulepkg\bus\usb\usbcoredxe\UsbCoreDxe,31FD7EAF-80A7-435E-8E0A-3F185F8667DD,Component description file for UsbCore Dxe module.
Kernel Layer,\insydemodulepkg\bus\usb\usbbusdxe\UsbBusDxe,240612B7-A063-11D4-9A3A-0090273FC14D,Component description file for UsbBus Dxe module.
Kernel Layer,\insydemodulepkg\bus\usb\usbbotdxe\UsbBotDxe,B40612B9-A063-11D4-9A3A-0090273FC14D,Component description file for UsbBot Dxe module.
Kernel Layer,\insydemodulepkg\bus\usb\usbcbidxe\UsbCbiDxe,A3527D16-E6CC-42F5-BADB-BF3DE177742B,Component description file for UsbCbi Dxe module.
Kernel Layer,\insydemodulepkg\bus\usb\usbmassstoragedxe\UsbMassStorageDxe,9FB4B4A7-42C0-4BCD-8540-9BCC6711F83E,Component description file for UsbMassStorage Dxe module.
Kernel Layer,\insydemodulepkg\bus\usb\usbkbdxe\UsbKbDxe,2D2E62CF-9ECF-43B7-8219-94E7FC713DFE,USB Keyboard Driver that manages USB keyboard and produces Simple Text Input Protocol and Simple Text Input Ex Protocol.
Kernel Layer,\insydemodulepkg\bus\usb\usbmousedxe\UsbMouseDxe,2D2E62AA-9ECF-43B7-8219-94E7FC713DFE,USB Mouse Driver that manages USB mouse and produces Simple Pointer Protocol.
Kernel Layer,\insydemodulepkg\csm\usblegacysmm\UsbLegacySmm,EF33C296-F64C-4146-AD04-347899702C84,Component description file for UsbLegacy Smm module.
Kernel Layer,\insydemodulepkg\universal\acpi\acpis3savedxe\AcpiS3SaveDxe,2BDED685-F733-455F-A840-43A22B791FB3,Component description file for AcpiS3Save module.
Kernel Layer,\insydemodulepkg\universal\firmwarevolume\fvbservicesruntimedxe\FvbServicesRuntimeDxe,BDFE5FAA-2A35-44BB-B17A-8084D4E2B9E9,Component description file for Nt32 Fimware Volume Block DXE driver module.
Kernel Layer,\insydemodulepkg\universal\firmwarevolume\fwblockservicesmm\FwBlockServiceSmm,74D936FA-D8BD-4633-B64D-6424BDD23D24,Component description file for FwBlockServiceSmm module.
Kernel Layer,\insydemodulepkg\universal\firmwarevolume\flashdevicefvbruntimedxe\FlashDeviceFvbRuntimeDxe,B0C2372B-9393-4CBC-9CAF-53913C9DCE2,Component description file for FvbServicesRuntimeDxe module.
Kernel Layer,\insydemodulepkg\universal\commonpolicy\pcihotplugdxe\PciHotPlugDxe,1967DD9B-B72C-4328-8C80-D4ACFC83FDF8,Component description file for PciHotPlug module.
Kernel Layer,\insydemodulepkg\universal\acpi\acpicallbackssmm\AcpiCallbacksSmm,4FB2CE1F-1A3A-42E3-BD0C-7B84F954189A,Component description file for SmmAcpiCallbacks module.
Kernel Layer,\insydemodulepkg\universal\userinterface\setupmousedxe\SetupMouseDxe,06B5947E-FF53-457D-98BC-C5ABC777FD5A,Component description file for SetupMouse Module.
Kernel Layer,\insydemodulepkg\universal\console\monitorkeydxe\MonitorKeyDxe,27BEDA18-AE2B-43C2-AF6B-74952441DE28,Monitory Key In Dxe Phase.
Kernel Layer,\insydemodulepkg\universal\smbios\pnpruntimedxe\PnpRuntimeDxe,A368D636-4C77-4B50-AAE8-F99E2DA40440,Component description file for PnpRuntimeDxe module.
Kernel Layer,\insydemodulepkg\universal\smbios\pnpsmm\PnpSmm,CC1BAA36-11EB-45CC-9ADC-7565E273AC70,Component description file for PnpSmm module.
Kernel Layer,\insydemodulepkg\universal\commonpolicy\commonsmicallbacksmm\CommonSmiCallBackSmm,6069277B-246B-45D5-BD6D-81820E10C11F,Component description file for CommonSmiCallBackSmm module.
Kernel Layer,\insydemodulepkg\universal\smbios\smbiosdxe\SmbiosDxe,F9D88642-0737-49BC-81B5-6889CD57D9EA,This driver initializes and installs the SMBIOS protocol.
Kernel Layer,\insydemodulepkg\universal\userinterface\hiidatabasedxe\HiiDatabase,348C4D62-BFBD-4882-9ECE-C80BB1C4783B,The DXE driver produces HII protocols defined in UEFI HII 2.1 specificatin.
Kernel Layer,\insydemodulepkg\universal\security\syspassworddxe\SysPassword,42FCB444-B881-49D8-A6E9-5A1695FC9F3E,System password driver.
Kernel Layer,\insydemodulepkg\universal\security\storagesecuritycommanddxe\StorageSecurityCommandDxe,70D57D67-7F05-494D-A014-B75D7345B700,This module will produce StorageSecurityCommand protocol.
Kernel Layer,\insydemodulepkg\universal\security\cryptoserviceruntimedxe\CryptoServiceRuntimeDxe,4AC99A7C-1DCF-4A51-8F06-5EEDFE8A8864,Component description file for CryptoService module.
Kernel Layer,\insydemodulepkg\universal\security\rngdxe\RngDxe,40155DB7-F2F6-4F7E-8BA8-A3466D4EF5FE,Component description file for Rng interpreter.
Kernel Layer,\insydemodulepkg\universal\userinterface\setupbrowserdxe\SetupBrowser,4F921013-4F71-4C6C-BCF8-419B2B801932,Component description file for SetupBrowserDxe module.
Kernel Layer,\insydemodulepkg\universal\userinterface\fonts\truetypedecoderdxe\TrueTypeDecoderDxe,531AED6E-3DEE-45EB-8DF1-B70ADB1F885D,Component description file for TTF font driver.
Kernel Layer,\insydemodulepkg\universal\userinterface\unicodecollationdxe\UnicodeCollationDxe,B273CC44-E62A-41DC-9CAD-BDB4235459D8,Component description file for UnicodeCollation module.
Kernel Layer,\insydemodulepkg\universal\isaacpidxe\IsaAcpi,38A0EC22-FBE7-4911-8BC1-176E0D6C1DBD,Component description file for PCAT ISA ACPI driver.
Kernel Layer,\insydemodulepkg\universal\console\consplitterdx\ConSplitterDxe,408EDCEC-CF6D-477C-A5A8-B4844E3DE281,This driver provides multi console supports.
Kernel Layer,\insydemodulepkg\universal\console\vgadriverpolicydxe\VgaDriverPolicyDxe,B5F33FB5-66D5-4901-BAF1-F0C774FC6588,Component description file for Vga Driver Policy.
Kernel Layer,\insydemodulepkg\universal\console\edidoverridedxe\EdidOverrideDxe,2818256A-6BDB-4871-993C-95315854012E,Component description file for EdidOverride driver.
Kernel Layer,\insydemodulepkg\universal\disk\partitiondxe\PartitionDxe,1FA1F39E-FEFF-4AAE-BD7B-38A070A3B609,Modules that produces the logic Block I/O protocol for every partition.
Kernel Layer,\insydemodulepkg\universal\memorytest\genericmemorytestdxe\GenericMemoryTestDxe,EEC9BC9A-2907-4D59-8B86-D1EC67DE62E1,Component description file for Generic memory test module.
Kernel Layer,\insydemodulepkg\universal\commonpolicy\commonpciplatformdxe\CommonPciPlatformDxe,B7358BEB-6A52-4D50-98F9-7EDD70B4B320,Component description file for CommonPciPlatformDxe driver.
Kernel Layer,\insydemodulepkg\csm\legacybiosdxe\LegacyBiosDxe,F122A15C-C10B-4D54-8F48-60F4F06DD1AD,Legacy Bios Module to support CSM.
Kernel Layer,\insydemodulepkg\csm\biosthunk\keyboarddxe\KeyboardDxe,5479662B-6AE4-49E8-A6BD-6DE4B625811F,Component description file for BiosKeyboard module.
Kernel Layer,\insydemodulepkg\csm\biosthunk\blockiodxe\BlockIoDxe,4495E47E-42A9-4007-8C17-B6664F909D04,Component description file for BlockIoDxe module.
Kernel Layer,\insydemodulepkg\csm\biosthunk\int15servicesmm\Int15ServiceSmm,7D4E94A9-269A-47A1-80F0-2B0EB42F7B4B,Component description file for Int15ServiceSmm module.
Kernel Layer,\insydemodulepkg\csm\biosthunk\videodxe\BiosVideoDxe,0B04B2ED-861C-42CD-A22F-C3AAFACCB896,Component description file for Video driver based on legacy bios.
Kernel Layer,\insydemodulepkg\universal\commonpolicy\legacybiosplatformdxe\LegacyBiosPlatformDxe,F84CFFF4-511E-41C8-B829-519F5152F444,Component description file for LegacyBiosPlatformDxe driver.
Kernel Layer,\insydemodulepkg\csm\atalegacysmm\AtaLegacySmm,396E583B-D2DD-45F6-86E8-119885777CDE,Component description file for AtaLegacy module.
Kernel Layer,\insydemodulepkg\bus\scsi\scsidiskdxe\ScsiDisk,0A66E322-3740-4CCE-AD62-BD172CECCA35,Scsi Disk driver. This driver detects the Scsi disk media and installs Block I/O Protocol on the device handle that holds the SCSI I/O Portocol.
Kernel Layer,\insydemodulepkg\universal\security\biosprotectdxe\BiosProtectDxe,C7D4F4E3-DAEA-40B0-8846-F4CAF3135CE8,This driver registers event to enable BIOS region protection before boot to OS.
Kernel Layer,\insydemodulepkg\universal\irsi\irsiregistrationruntimedxe\IrsiRegistrationRuntimeDxe,E8DDEB8B-82D7-4B6E-A2B4-D5EAEC2B8976,Component description file for IrsiRegistrationRuntimeDxe module.
Kernel Layer,\insydemodulepkg\universal\irsi\irsiruntimedxe\IrsiRuntimeDxe,BA118F88-5B65-4584-9C5A-C2D087F6ED1E,Component description file for IrsiRuntimeDxe module.
Kernel Layer,\insydemodulepkg\universal\firmwarevolume\firmwaremanagementruntimedxe\SystemFirmwareManagementRuntimeDxe,B795675E-7583-4F98-AC6A-F9DDBBCC32E8,Component description file for SystemFirmwareManagementRuntimeDxe module.
Kernel Layer,\insydemodulepkg\universal\capsuleupdate\capsuleruntimedxe\CapsuleRuntimeDxe,42857F0A-13F2-4B21-8A23-53D3F714B840,Capsule Runtime Driver produces two UEFI capsule runtime services.
